"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-1099 b",-0.378638066138098,-0.496126962752966,-0.518183205681817,-1.02480559829643,-0.515514356412269,-0.517723364350954,-0.511162382549288,1.30066334110616,1.13996216116867,"Neptunian",0.526163303326616,-0.157456021508982,"G",-0.1380609973005,-0.146658684527403,-0.149026305116611,"non-habitable"
"Kepler-11 b",-0.927051801474258,-0.69338424742913,-0.38365122111514,-0.322153370997863,-0.384523770770726,-0.372844808306038,-0.38228697528278,0.33728530625377,0.360665121299969,"Superterran",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-11 c",-0.794149355019873,-0.48745631287709,-0.347867116130664,-0.203030797251131,-0.349859033074615,-0.327929386122384,-0.352928253459732,0.184825850327583,0.237112445881432,"Neptunian",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-11 d",-0.434955863929963,-0.439767738559776,-0.243538359865985,0.0864723650050543,-0.248508605393693,-0.201662868662176,-0.263737126275127,-0.161064233722823,-0.0457660529032513,"Neptunian",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-11 e",-0.400423288148704,-0.231672141538767,-0.15985785922931,0.269703033856532,-0.167130904815521,-0.108943422639668,-0.185582036526244,-0.372491693459222,-0.221013694473965,"Neptunian",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-11 f",-0.927051801474258,-0.561156836822031,-0.049259855111812,0.473112448560227,-0.0595978384327875,0.0171185934080757,-0.0850102422944483,-0.597387394259472,-0.410628815821711,"Superterran",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-11 g",0.101384882301939,-0.398582151649368,0.342511166844314,0.980043935100326,0.329761948109038,0.338689340581416,0.363169733347805,-1.12094258859711,-0.887786528818396,"Neptunian",0.338261825305311,-0.138647646479432,"G",-0.14093312468788,-0.142236576968836,-0.142413409092191,"non-habitable"
"Kepler-110 b",-0.673401584124826,-0.689048922491192,-0.347867116130664,-0.216306184727644,-0.349937105735414,-0.320777729234564,-0.358459415225124,0.357278330987437,0.37747338098024,"Superterran",0.6556415534808,-0.110435083935107,"G",0.11347968953869,-0.0441077518474654,-0.0538286624221207,"non-habitable"
"Kepler-110 c",-0.549239359383406,-0.615348398546252,-0.153695188312436,0.264998553689219,-0.161167776592785,-0.096246308000579,-0.184367644876019,-0.21762141545508,-0.0924174479781452,"Superterran",0.6556415534808,-0.110435083935107,"G",0.11347968953869,-0.0441077518474654,-0.0538286624221207,"non-habitable"
"Kepler-1100 b",-0.701115335052159,-0.704222559773974,-0.426749499253996,-0.554564849842422,-0.426624682104861,-0.41199366241305,-0.42918423050405,0.964000148075547,0.86830318149738,"Superterran",0.947655098289994,-0.050875229674865,"F",0.518316168157495,0.121539912201731,0.0978252460897969,"non-habitable"
"Kepler-1101 b",-0.473870474377654,-0.565492161759968,0.157586800497403,0.774666847937911,0.14145316795912,0.263705761988877,0.0947233293889434,-1.05475928833085,-0.817899138999228,"Superterran",0.284304626634753,-0.185668584053308,"G",-0.338948882473649,-0.225942187053084,-0.22136103443026,"non-habitable"
"Kepler-1102 b",-0.421994453807851,-0.528641899787498,-0.0168588008616795,0.52440426286132,-0.0281386958620167,0.0619849507404092,-0.0616820990963063,-0.741653052053657,-0.534948302453488,"Neptunian",0.404784480204631,-0.176264396538533,"G",-0.260309246704618,-0.195158444830821,-0.193518200825564,"non-habitable"
"Kepler-1103 b",-0.528961885439243,-0.602342423732439,-0.257982860202267,0.0145133971896993,-0.262553770344257,-0.216839740067277,-0.277870478312804,0.092479653477391,0.162034222321067,"Superterran",0.791654823927215,-0.110435083935107,"F",0.1802142046422,-0.0207322981850256,-0.0336290639586153,"non-habitable"
"Kepler-1104 b",-0.904672103408129,-0.803935033346541,-0.448130621271332,-0.66864118859613,-0.447410900302723,-0.436717801314446,-0.448354238372194,1.19365899147944,1.05364472459962,"Terran",1.11436319630176,-0.0289321254737232,"F",0.709395325824667,0.201556979750715,0.170382122265634,"non-habitable"
"Kepler-1105 b",-0.612913476685461,-0.654366322987691,-0.484776851397531,-0.728066027566128,-0.483037493468161,-0.479093803991856,-0.481210723606574,0.0228719092055662,0.105171006501507,"Superterran",-1.37268675254586,-0.257767354999917,"K",-0.863368865879253,-0.472027196396663,-0.444642026642134,"non-habitable"
"Kepler-1106 b",-0.737936892335248,-0.723731521994694,-0.540524331280745,-1.21323807780865,-0.537233867254994,-0.543557606916595,-0.53119311588346,1.85100638621603,1.58371436044042,"Superterran",0.803873212584335,-0.104165625591924,"F",0.213284768393125,-0.0069852861104985,-0.0208622502076713,"non-habitable"
"Kepler-1107 b",-0.857052204338918,-0.782258408656852,-0.566440780412518,-1.41234655175413,-0.562429222584337,-0.573526187968861,-0.554429433106084,1.81193535455091,1.55221680300061,"Terran",-0.110657184913238,-0.213881146597633,"K",-0.552555164642935,-0.313846619319092,-0.301041010184872,"non-habitable"
"Kepler-1108 b",-0.81136153169859,-0.760581783967164,-0.47503159631353,-0.71912244273647,-0.473563388301668,-0.467824842515885,-0.47247326742977,0.572320167092475,0.551739917489076,"Terran",0.049894877844366,-0.20761168825445,"G",-0.489358927585414,-0.28753116723468,-0.277516181115121,"non-habitable"
"Kepler-1109 b",-0.556100275259168,-0.619683723484189,-0.102154477199141,0.356970450479718,-0.111061123330844,-0.0366470175794023,-0.138156981246181,-0.423894534555942,-0.263955496459688,"Superterran",0.585447706146006,-0.138647646479432,"G",-0.0357899836236654,-0.105231099552055,-0.110601984118569,"non-habitable"
"Kepler-111 b",-0.76325860218268,-0.736737496808507,-0.487180309363332,-0.850759527393847,-0.485374078127565,-0.481873051429944,-0.48336562960626,1.16043963521019,1.02684343030411,"Superterran",0.647301791902875,-0.107300354763515,"G",0.122441165180112,-0.0399464021553443,-0.0497885833619551,"non-habitable"
"Kepler-111 c",0.334457651469223,0.368770362365602,0.793148777471731,1.33209469166933,0.759331402831049,0.998640186216859,0.664559098036293,-1.34720449115478,-1.11490810695827,"Jovian",0.647301791902875,-0.107300354763515,"G",0.122441165180112,-0.0399464021553443,-0.0497885833619551,"non-habitable"
"Kepler-1110 b",-0.421994453807851,-0.528641899787498,-0.408347578359251,-0.352839938755944,-0.408734772367298,-0.390714533661749,-0.41268533170654,-0.247344456565976,-0.116993578634209,"Neptunian",-0.712913100897319,-0.251497896656733,"K",-0.770724490354798,-0.418193280967724,-0.39650670895473,"non-habitable"
"Kepler-1111 b",-0.616582548387251,-0.65653398545666,-0.394789895856472,-0.401238304519699,-0.395554315956657,-0.375037057750618,-0.400529707691984,0.599121716543755,0.573430061694837,"Superterran",0.776347953885893,-0.110435083935107,"F",0.172590267116328,-0.0233990714960762,-0.0359371317223908,"non-habitable"
"Kepler-1112 b",-0.33198545253898,-0.459276700780495,-0.302858067982184,-0.152668146084357,-0.306180379828615,-0.268731351250267,-0.318104947089893,0.629997961541276,0.598411252290842,"Neptunian",1.19033619628349,0.0118193537569688,"F",0.92656215635531,0.302848671209217,0.263933527509831,"non-habitable"
"Kepler-1113 b",-0.381462291076826,-0.498294625221934,-0.0557832949453398,0.419783932416205,-0.0659801630501432,0.0169744691758459,-0.0965812431750084,-0.412617870864472,-0.254510446164654,"Neptunian",0.625356480942816,-0.104165625591924,"G",0.124721143759522,-0.0381379087660857,-0.0477770244576642,"non-habitable"
