"","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","P_TYPE","S_RADIUS_EST","S_TYPE_TEMP","P_HABITABLE"
"GJ 4276 b",-0.404011112653048,-0.190262764975363,-1.08247245793348,"Neptunian",-0.342405042632892,"M","non-habitable"
"GJ 433 b",-0.45450149735579,-0.488099142441946,-0.647042445144797,"Superterran",-0.314192480088567,"M","non-habitable"
"GJ 504 b",8.73112738295702,3.87383904298206,-4.28514394831823,"Jovian",-0.183930298359431,"G","non-habitable"
"GJ 536 b",-0.439222136072547,-0.406256285018186,-0.63108746806947,"Superterran",-0.314192480088567,"M","non-habitable"
"GJ 581 b",-0.49895741289081,-0.639178484502153,-0.732001652733405,"Neptunian",-0.377200539572289,"M","non-habitable"
"GJ 581 c",-0.422251470860109,-0.207186515626831,-1.18287817794951,"Superterran",-0.377200539572289,"M","non-habitable"
"GJ 581 e",-0.527454864949242,-0.875321870720217,-0.469291008115919,"Terran",-0.377200539572289,"M","non-habitable"
"GJ 625 b",-0.412291417602784,-0.14320867019692,-1.19944170062482,"Terran",-0.373752334348809,"M","non-habitable"
"GJ 667 C b",-0.47662894774203,-0.49946753492863,-0.682592566702309,"Superterran",-0.336356259819201,"M","non-habitable"
"GJ 667 C c",-0.308223074480762,0.200988406773081,-1.37191905921921,"Terran",-0.336356259819201,"M","habitable"
"GJ 667 C e",-0.123111500929363,0.62903365226583,-1.77770534550424,"Terran",-0.336356259819201,"M","habitable"
"GJ 667 C f",-0.241411248269471,0.37634282856475,-1.54069355199252,"Terran",-0.336356259819201,"M","habitable"
"GJ 667 C g",0.477871282005954,1.40406256736719,-2.49776163636408,"Terran",-0.336356259819201,"M","non-habitable"
"GJ 676 A b",1.95045272810765,2.1852653871795,-2.89197795181213,"Jovian",-0.254632625828325,"M","non-habitable"
"GJ 676 A c",4.38722020696953,3.25527459935408,-3.85281809793034,"Jovian",-0.254632625828325,"M","non-habitable"
"GJ 676 A d",-0.498044951901921,-0.818788366867275,-0.00801680260022401,"Terran",-0.254632625828325,"M","non-habitable"
"GJ 676 A e",-0.170358610978928,0.323730978348918,-1.16508276398418,"Superterran",-0.254632625828325,"M","non-habitable"
"GJ 685 b",-0.287771467957691,0.11985892162744,-1.05380889342719,"Superterran",-0.3016535634022,"M","non-habitable"
"GJ 687 b",-0.211823374073968,0.363976833102357,-1.60949845223624,"Neptunian",-0.336135584289709,"M","non-habitable"
"GJ 832 b",3.1316735039123,2.87069289331099,-3.74766818854549,"Jovian",-0.315580754462061,"M","non-habitable"
"GJ 832 c",-0.226572789166145,0.328116054103505,-1.41333119134724,"Superterran",-0.315580754462061,"M","habitable"
"GJ 849 b",2.37375686252354,2.50384425498231,-3.48776544058445,"Jovian",-0.304788292573792,"M","non-habitable"
"GJ 86 b",-0.341215211403811,-0.104414142115796,-0.16363343897493,"Jovian",-0.229554792455591,"K","non-habitable"
"GJ 9827 b",-0.551747224141622,-1.22407791438454,0.708393928700525,"Superterran",-0.279710459201058,"K","non-habitable"
"GJ 9827 c",-0.502690744940019,-0.813103813042304,0.146194764629199,"Terran",-0.279710459201058,"K","non-habitable"
"GJ 9827 d",-0.463444944683913,-0.571228619608264,-0.123866221233956,"Superterran",-0.279710459201058,"K","non-habitable"
"Gl 378 b",-0.502655275261329,-0.792810497350741,-0.0668019618953233,"Neptunian",-0.295384105059017,"M","non-habitable"
"Gl 49 b",-0.3847779125382,-0.171388931448699,-0.813290103845308,"Superterran",-0.311057750916975,"M","non-habitable"
"Gl 686 b",-0.382074720298314,-0.112162905996587,-1.01691253093171,"Superterran",-0.339270313461301,"M","non-habitable"
"HAT-P-1 b",-0.46470195662558,-0.723628196256069,0.895635885214141,"Jovian",-0.104165625591924,"G","non-habitable"
"HAT-P-11 b",-0.47186054461394,-0.682491313534584,0.177832916868161,"Neptunian",-0.257767354999917,"K","non-habitable"
"HAT-P-11 c",3.42116975314938,2.83158507226045,-3.17668298594248,"Jovian",-0.257767354999917,"K","non-habitable"
"HAT-P-12 b",-0.505103884715051,-0.86738981823081,0.401855639239396,"Jovian",-0.251497896656733,"K","non-habitable"
"HAT-P-13 b",-0.495004452124158,-0.907748185020692,1.23173072033669,"Jovian",0.0180888121001522,"G","non-habitable"
"HAT-P-13 c",1.3634971159669,1.70973286097956,-1.37573740187525,"Jovian",0.0180888121001522,"G","non-habitable"
