"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-292 e",-0.419036093504034,-0.370171055901248,-0.245813953319437,0.0238914806186461,-0.210746417426041,-0.533355886237358,"non-habitable"
"Kepler-182 b",-0.442986961511859,-0.37241262221837,-0.346027863911725,0.532888551513321,-0.110435083935107,0.261077454859847,"non-habitable"
"Kepler-1241 b",-0.427941308052974,-0.298669141564387,-0.0194383662905895,-0.235076294924037,-0.220150604940816,-0.573811072017548,"non-habitable"
"Kepler-334 b",-1.00460105971311,-0.452183838253021,-0.630372594637922,0.71738643778655,-0.135512917307841,-0.053214656227066,"non-habitable"
"HATS-36 b",0.78230570553003,-0.472421053302187,-0.753760373367273,0.887702144053018,-0.126108729793066,0.0432837271647525,"non-habitable"
"Kepler-1146 b",-0.904672103408129,-0.521961461423348,-0.993651710357452,0.571665273325219,-0.251497896656733,-0.787716364096006,"non-habitable"
"K2-214 b",-0.483349178293256,-0.400832920453576,-0.412597847368053,0.616171191104162,-0.0728183338760068,0.210728539142003,"non-habitable"
"HATS-32 b",1.234831441253,-0.500752486294405,-0.922558476805775,0.999797966229512,-0.126108729793066,-0.0757407935885053,"non-habitable"
"Kepler-1028 b",-0.861726647179672,-0.513323332289276,-0.967523370909846,0.902737955764284,-0.198207500739674,-0.417950669028122,"non-habitable"
"Kepler-1622 b",-0.806896487166325,-0.353021714830112,-0.297869445214983,0.714507244051319,-0.000719562929397941,0.83872783341535,"non-habitable"
"K2-58 c",-0.746307316258353,-0.513164838026654,-0.963976820212565,0.861989000700962,-0.201342229911266,-0.466088843815807,"non-habitable"
"Kepler-843 b",-0.439957185158136,-0.520717825689628,-1.04515226812504,1.18585161075351,-0.148051833994207,-0.103008024443998,"non-habitable"
"Kepler-230 c",-0.601991974921204,0.193922396424546,0.840740795497488,-0.946146959368586,-0.213881146597633,-0.451438095376507,"non-habitable"
"Kepler-1204 b",-0.32400857397288,0.201397019027104,0.803561269531806,-0.71730616466471,-0.148051833994207,-0.105250047364918,"non-habitable"
"HD 109749 b",0.664295765322003,-0.451025827726833,-0.650405596948069,0.810313794538162,-0.0884919797339653,0.132925817186039,"non-habitable"
"Kepler-804 b",-0.6351462873459,-0.327834546121548,-0.15224056808995,0.208856825025826,-0.141782375651024,-0.0835632284111728,"non-habitable"
"Kepler-700 b",0.181215777789904,0.164276477441975,0.771685431336665,-0.763876436785947,-0.169994938195349,-0.248953517985192,"non-habitable"
"K2-253 b",0.766424186334701,-0.476394986740819,-0.772600504306234,0.932590898849135,-0.126108729793066,0.0806970223006603,"non-habitable"
"HATS-43 b",0.648598784223518,-0.479110304500251,-0.731410449698825,0.458242218016939,-0.217015875769225,-0.610723681094828,"non-habitable"
"Kepler-20 f",-1.11080786928419,-0.276530496789034,0.00878896274335957,-0.0875029590395892,-0.169994938195349,-0.327601963985054,"non-habitable"
