"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"Kepler-1468 c",-0.974483990028074,-0.486960172368878,-0.825429048882321,0.933956155015636,-0.141782375651024,-0.0487200603257935,"non-habitable"
"Kepler-1469 b",-0.384295684788929,-0.256780322425533,0.0669834819822607,-0.19064873757366,-0.191938042396491,-0.401070316862036,"non-habitable"
"Kepler-147 b",-0.784849451113693,-0.334581260557697,-0.219565110551084,0.536564329831676,-0.010123750444173,0.546665172173533,"non-habitable"
"Kepler-147 c",-0.483349178293256,-0.117040166521472,0.292926784002667,0.0418346357691227,-0.010123750444173,0.546665172173533,"non-habitable"
"Kepler-1470 b",-1.05384170092698,-0.326321515654585,-0.0872140921975081,-0.285417753501291,-0.232689521627183,-0.688078671828178,"non-habitable"
"Kepler-1471 b",-0.829409520092116,-0.488340644899747,-0.814185130277685,0.789412491603857,-0.179399125710124,-0.29771526200487,"non-habitable"
"Kepler-1472 b",-0.64646240247728,-0.0831010895006016,0.363853783412134,-0.102572980560776,-0.0790877922191902,0.349677348598515,"non-habitable"
"Kepler-1473 b",-0.944044941698297,-0.320626068719647,-0.150347282831267,0.275104193398859,-0.129243458964657,0.0765295535967086,"non-habitable"
"Kepler-1474 b",-0.563013124565783,-0.113274132845374,0.339347311564885,-0.265358440186755,-0.144917104822616,-0.0721531094710459,"non-habitable"
"Kepler-1475 b",-0.353625994114248,0.21311043542818,0.780423684032101,-0.465918282278084,-0.0696836047044151,0.419905301926364,"non-habitable"
"Kepler-1476 b",-0.729635611099079,-0.380603935025759,-0.319484978801216,0.273916656527594,-0.169994938195349,-0.260739289746369,"non-habitable"
"Kepler-1477 b",-0.954221966343491,-0.378647076905408,-0.264149775267423,-0.0516665009948553,-0.226420063284,-0.636557056926575,"non-habitable"
