"","P_MASS_EST","P_RADIUS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_DISTANCE","P_PERIASTRON","P_APASTRON","P_FLUX","P_TEMP_EQUIL","P_TYPE","S_TEMPERATURE","S_RADIUS_EST","S_TYPE_TEMP","S_LUMINOSITY","S_HZ_MIN","S_HZ_MAX","P_HABITABLE"
"Kepler-729 b",-0.207895259026384,-0.350893577332053,-0.49817994707237,-0.873548395716985,-0.496067664242087,-0.494592522857252,-0.493227747284557,0.927763413135925,0.839045493248063,"Neptunian",0.305282491121174,-0.185668584053308,"G",-0.331757852325029,-0.2233379127037,-0.219126816411216,"non-habitable"
"Kepler-1428 b",-0.742113402347394,-0.725899184463663,-0.356755617234165,-0.304257695091674,-0.35857829506306,-0.331055980101379,-0.366428718049922,0.620822873860904,0.590988640711598,"Superterran",0.884720493212701,-0.0446057713316816,"F",0.508649439253445,0.120217973901235,0.0975042913995899,"non-habitable"
"Kepler-1202 b",-0.350891013641376,-0.474450338063277,-0.180169328557945,0.211227632757051,-0.1869053059562,-0.126859777218624,-0.208103979966257,-0.287937953630729,-0.150627100093945,"Neptunian",0.522971324828356,-0.144917104822616,"G",-0.088504542103632,-0.125549580623578,-0.129013735756141,"non-habitable"
"Kepler-571 b",-0.424962827302719,-0.530809562256467,-0.467672300986525,-0.690925107958062,-0.466408856452236,-0.459314894360043,-0.465875028609174,0.622816784545406,0.59260174678914,"Neptunian",0.187332454121257,-0.188803313224899,"G",-0.382688306509712,-0.242765445710556,-0.236265791176575,"non-habitable"
"Kepler-242 b",-0.433928698840437,-0.537312549663373,-0.419964011562993,-0.435688323971534,-0.420027992389058,-0.404147238822649,-0.423100459394178,0.0849188446753556,0.155863346640719,"Neptunian",-0.410050151793803,-0.204476959082858,"K",-0.598517542778711,-0.331261201787778,-0.314617268363335,"non-habitable"
"HATS-32 b",1.234831441253,1.66503251880897,-0.500752486294405,-0.922558476805775,-0.488337783922758,-0.549828920743191,-0.455744551110512,1.21427697164142,0.999797966229512,"Jovian",0.378696597140202,-0.126108729793066,"G",-0.0757407935885053,-0.115560006407506,-0.117621608679293,"non-habitable"
"Kepler-1306 b",-0.64646240247728,-0.67387528520841,-0.308393995748813,-0.0871864949351401,-0.311562277111249,-0.275132841636939,-0.323068380662636,-0.0221134685376526,0.0683552347597953,"Superterran",0.408037773231963,-0.166860209023758,"G",-0.222391752540516,-0.179044488891711,-0.178266279132818,"non-habitable"
"Kepler-1352 b",-1.19846029008235,-0.871132569884575,-0.523072471189175,-1.07794406205718,-0.520267584029642,-0.523377084461233,-0.515546027999209,1.59143722819893,1.37444697060542,"Terran",0.818097681572476,-0.107300354763515,"F",0.206995323629003,-0.0102756622164744,-0.0241424879636582,"non-habitable"
"HAT-P-18 b",0.518610069636569,1.11444625169088,-0.46402681474093,-0.627162740010708,-0.462418547788933,-0.467766798195299,-0.452828393822214,0.161844615136375,0.216563576464329,"Jovian",-0.684409009814556,-0.235824250798775,"K",-0.731889140858347,-0.396668194220542,-0.375651834164722,"non-habitable"
"HD 73534 b",1.32335688669691,1.60725087489038,2.80346972562815,2.46369328417205,2.72788942804465,3.04139290449747,2.66581380338178,-1.79899341235506,-1.84070657188349,"Jovian",-0.538765774022212,0.337831187602505,"G",0.846306555724505,0.352520593064509,0.353980129165409,"non-habitable"
"Kepler-947 b.1",-0.528961885439243,-0.602342423732439,-0.212095478252786,0.178239777610492,-0.217943149210474,-0.163777697569203,-0.236728508667484,-0.477308767948824,-0.308822215434564,"Superterran",0.165951643546695,-0.198207500739674,"G",-0.422840601925625,-0.26002627493153,-0.252499786411115,"non-habitable"
"Kepler-1129 b",-0.34544694879298,-0.470115013125339,-0.22376054124284,0.123792335582965,-0.229283645953651,-0.177266635961949,-0.247187237125253,-0.214982595371472,-0.0902375143355022,"Neptunian",0.519777704787992,-0.157456021508982,"G",-0.14067825916799,-0.147572019857407,-0.149812129009206,"non-habitable"
"Kepler-466 b",-0.373017045668275,-0.491791637815028,-0.00462258164853952,0.521766083960474,-0.0162429346257741,0.0761343477275414,-0.0507112801466719,-0.602811578043883,-0.415210571917078,"Neptunian",0.621167614658101,-0.141782375651024,"G",-0.0330101768512383,-0.105254838261032,-0.111077895209572,"non-habitable"
"Kepler-1035 b",-0.964369311262844,-0.816941008160354,-0.506488485138319,-0.93702989893077,-0.504145027301146,-0.504200131337457,-0.500677063553735,1.11547852361329,0.990565207574129,"Terran",0.446944928892846,-0.166860209023758,"G",-0.207402701189566,-0.173753558735829,-0.173720720625281,"non-habitable"
