"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_RADIUS_EST","S_LUMINOSITY","P_HABITABLE"
"HD 128356 b",1.21935329770027,0.940760534432857,1.48762383432965,-1.79177025823165,-0.204476959082858,-0.639441324763099,"non-habitable"
"K2-258 b",-0.334660958899575,-0.256339833056467,-0.00440093920492196,0.321140600352908,-0.06027941718964,0.536787022389471,"non-habitable"
"Kepler-16 b",0.761528691903445,0.713429917129145,1.34177535333015,-1.94039527186498,-0.267171542514692,-0.855802484792258,"non-habitable"
"Kepler-1011 b",-0.367432270669058,-0.452465263940138,-0.606731260117708,0.457604208647745,-0.195072771568083,-0.443920812138155,"non-habitable"
"Kepler-1050 b",-0.754747644035556,-0.309255250079108,-0.117287644378115,0.260994317484622,-0.116704542278291,0.112228859810469,"non-habitable"
"HD 102365 b",-0.102626873151758,0.332430999757214,0.996992542707752,-1.11913721870595,-0.222953090436969,-0.470556253820756,"non-habitable"
"Kepler-811 b",-0.410220508125947,-0.229853760996928,0.107075323088513,0.0653349479403657,-0.0822225213907819,0.117322763259355,"non-habitable"
"K2-138 f",-0.381462291076826,-0.353869261473291,-0.213630266045252,0.00508161009490079,-0.201342229911266,-0.477745507986151,"non-habitable"
"HD 37605 b",1.73644896883301,0.00326504596796619,0.561992372120753,-0.74808156436015,-0.185668584053308,-0.442860171850083,"non-habitable"
"HD 204313 b",1.85426261821688,2.85226293684665,2.51491058206849,-2.26576324270911,-0.126108729793066,-0.0366719270717513,"non-habitable"
"Gl 49 b",-0.540861866631375,-0.3847779125382,-0.171388931448699,-0.813290103845308,-0.311057750916975,-0.969121634903291,"non-habitable"
"HD 82943 b",1.51650880248563,1.32121322631345,1.70377214725069,-1.50108217429281,-0.136510231393783,0.0309994266196659,"non-habitable"
"Kepler-943 b",0.173976492264986,-0.0327702975330246,0.507701829370196,-0.566089866985471,-0.185668584053308,-0.339704000939744,"non-habitable"
"Kepler-734 b",-0.210207114705206,-0.45007495325466,-0.578690273708464,0.327051489934149,-0.226420063284,-0.574389588718258,"non-habitable"
"Kepler-312 b",-0.880618455202006,-0.522682283786597,-1.09856924158417,1.55062592939176,-0.010123750444173,0.608076377551274,"non-habitable"
"HD 68988 b",1.59070617174504,-0.431422667731135,-0.5654561355056,0.719098476916874,-0.0978961672487404,0.150934135415434,"non-habitable"
"Kepler-825 b",-0.784849451113693,-0.482730869924677,-0.798383476619639,0.947556258441097,-0.132378188136249,0.0294827306007531,"non-habitable"
"Kepler-854 b",1.80978600340333,-0.514856627319502,-1.02897443071028,1.37776494927294,-0.0728183338760068,0.387280338812882,"non-habitable"
"HD 7199 b",0.664295765322003,1.51276557497669,1.88656068845514,-1.85317705635753,-0.166860209023758,-0.364706428197953,"non-habitable"
"24 Sex b",1.59543107439207,1.48448370017786,1.71774001501521,-0.680675565371608,1.06508835541178,2.39761517329267,"non-habitable"
"K2-169 b",-0.885390061734443,-0.438123260487064,-0.557639848924378,0.454169311068786,-0.182533854881716,-0.352337108106508,"non-habitable"
"GJ 3293 c",0.0231051065009131,0.161201015441665,0.999319465973156,-2.18354587485507,-0.345539771804484,-1.00311913406198,"non-habitable"
"HAT-P-42 b",1.29388000568098,-0.460305224483026,-0.706061670276277,1.01325482637626,0.00868462458537714,0.455739638656241,"non-habitable"
"HAT-P-11 b",0.0696502527926074,-0.47186054461394,-0.682491313534584,0.177832916868161,-0.257767354999917,-0.78410847805139,"non-habitable"
"GJ 3138 d",-0.282704815727874,0.703606484742023,1.40748856929141,-2.41588547031802,-0.314192480088567,-0.976398392209832,"non-habitable"
"Kepler-381 c",-1.00460105971311,-0.325763754073767,-0.188739226669404,0.595424757731951,0.0212235412717439,0.753074228890646,"non-habitable"
"Kepler-156 b",-0.522302362285276,-0.468453534609585,-0.674512499688946,0.39224842332159,-0.217015875769225,-0.612115767750344,"non-habitable"
"Kepler-1144 b",-0.616582548387251,-0.298995695896344,-0.0606673277107962,0.0414660695532774,-0.169994938195349,-0.223939533380275,"non-habitable"
"Kepler-229 c",0.0313285676114577,-0.325763754073767,-0.0944952107809682,-0.269656674498438,-0.242093709141958,-0.67423355219714,"non-habitable"
"Kepler-388 b",-1.25264115210248,-0.510791223842794,-0.872626126777676,0.269832698009125,-0.285979917544242,-0.878609213752486,"non-habitable"
"Kepler-1120 b",-0.843144619242741,-0.508327222632358,-0.903143485124743,0.55308697977347,-0.238958979970366,-0.716655434339564,"non-habitable"
"Kepler-382 c",-0.758994256089103,-0.370171055901248,-0.238050106703013,0.203274274845875,-0.176264396538533,-0.309398730681015,"non-habitable"
