"","P_MASS_EST","P_SEMI_MAJOR_AXIS_EST","P_PERIOD","P_TEMP_EQUIL","S_TEMPERATURE","S_RADIUS_EST","P_HABITABLE"
"Kepler-582 b",-0.187369436511936,-0.289599500486531,-0.0211422577433867,-0.0754997474202944,0.228758692514792,-0.185668584053308,"non-habitable"
"108",-0.686300739949941,-0.22337336173677,0.297690577205349,-1.71297602724668,-2.74337290384143,-0.363697969768394,"habitable"
"367",-0.708333016190407,1.18517974669992,1.63984487059878,-1.43435495666699,0.49579646289804,-0.119478463222875,"habitable"
"K2-63 c",-0.143477548633432,-0.172229750937003,0.14759832550932,0.404244817362765,1.44777728889263,0.040031916301294,"non-habitable"
"Kepler-978 b",-0.337344810248963,-0.00977475273326227,0.506089133556312,-0.36000043720849,0.699242493094574,-0.129243458964657,"non-habitable"
"75",-0.488307829108831,-0.286604913347013,0.196664088081817,-1.40151571242843,-2.66205880569155,-0.342039374250897,"habitable"
"tau Cet e",-0.67942871670937,0.460354751593303,1.15503288511241,-1.30783157472285,-0.0217241507042608,-0.222344921630389,"habitable"
"491",-1.08586604432354,-0.531004382197367,-0.640287598912652,-1.45114125225295,-3.77756833586731,-0.436349048166343,"habitable"
"Kepler-301 c",-0.857052204338918,-0.45450149735579,-0.634769483360148,0.594447391988378,0.502717270893991,-0.188803313224899,"non-habitable"
"WASP-19 b",1.30493384523514,-0.557882198811744,-1.34062317460691,1.60235084682981,0.233220696681356,-0.157456021508982,"non-habitable"
"HIP 67851 b",1.42426118394408,0.332430999757214,0.823360825695041,0.212616294686783,-0.572952798655808,1.38483073091413,"non-habitable"
"Kepler-584 b",-0.0856632851793365,-0.106218197695596,0.320549435434415,-0.0610102032539246,0.895755135377575,-0.0822225213907819,"non-habitable"
"196",-0.475898090472376,0.561058742467772,1.22564292740108,-1.44196921930773,-0.184328019827826,-0.22600867217394,"habitable"
"Kepler-15 b",1.07985379679788,-0.461142091122493,-0.677356621110652,0.623289042543077,0.173837351313171,-0.160590750680574,"non-habitable"
"Kepler-845 b.1",-0.601991974921204,-0.555786213918518,-1.29927645111675,1.15178139057162,-0.543818657971967,-0.235824250798775,"non-habitable"
"339",-0.665011527568829,-0.0500587394461171,0.773409720740098,-1.36578938443664,-1.64322397607746,-0.289934409842526,"habitable"
"370",-0.732004458913501,1.11148506227007,1.59398812423993,-1.43326264784193,0.406153298335617,-0.130200412293429,"habitable"
"HD 142245 b",1.79828772434768,2.67057912999026,2.29916375305143,-1.33700451290051,-0.532455445228395,0.980450667778801,"non-habitable"
"Kepler-594 b",-0.559550161631694,-0.345036415111881,-0.179053525331604,0.0285454549059613,0.139970730210901,-0.198207500739674,"non-habitable"
"Kepler-1254 b",-0.776158934756671,-0.40049069269348,-0.337654277115676,-0.0328039891951728,-0.453489879461279,-0.235824250798775,"non-habitable"
"81 Cet b",2.05390313404546,2.48141833427696,2.12803387845363,-0.643507690178133,-0.707720797892782,2.97727315008271,"non-habitable"
"HD 76920 b",1.91388556185771,1.28256324189135,1.67022443103001,-0.461152385022859,-0.821644811161335,1.87071375251084,"non-habitable"
"394",-0.594802769608855,0.681426152640912,1.39076790624187,-1.80632766056396,-0.577592357189941,-0.275687931022701,"habitable"
"HD 45364 b",0.495089470431509,0.679313355988049,1.33731916665613,-1.31080179381958,0.0819701811933373,-0.167814342215361,"non-habitable"
"K2-264 b",-0.542429754407588,-0.477260753708216,-0.599677527354933,-0.472741724413352,-2.37174244832984,-0.323596667603342,"non-habitable"
"Kepler-62 e",-0.750518700821969,0.276238770039198,0.998280816483773,-1.41638138330773,-0.528672323556933,-0.270306271686283,"habitable"
"Kepler-575 b",-0.496146309101799,-0.394625894527628,-0.369315831930258,0.331733703101429,0.389579870223079,-0.173129667366941,"non-habitable"
"HD 22781 b",2.4969538428572,1.30306465423656,1.80251992391112,-2.14376802975765,-0.401398551584328,-0.245904050818257,"non-habitable"
"Kepler-125 b",-0.502614231118641,-0.498957415251883,-0.754914136084607,-0.194160498034642,-2.12237835104117,-0.311057750916975,"non-habitable"
"Kepler-85 e",-0.890181254742566,-0.226572789166145,0.142588072812268,-0.280052186270649,0.0842549472351731,-0.191938042396491,"non-habitable"
"78",-0.579770579702425,-0.0896239424521237,0.564310669902357,-1.54659433047869,-2.28138334013795,-0.311203691654471,"habitable"
"GJ 667 C c",-0.690735949831888,-0.308223074480762,0.200988406773081,-1.37191905921921,-2.92118735289182,-0.336356259819201,"habitable"
"254",-0.558494534449198,0.448987014709558,1.16837226512989,-1.57268053862799,-0.650606669417734,-0.261346973711646,"habitable"
"Kepler-359 c",-0.0698571387488411,0.060339064644747,0.587765535985589,-0.396009667768064,0.9486489358582,-0.129243458964657,"non-habitable"
"Kepler-115 b",-1.03430916650982,-0.510791223842794,-0.985243320170285,1.25327531249943,0.675403715138294,-0.091626708905557,"non-habitable"
"Kepler-535 b",-0.502614231118641,-0.455253706668625,-0.681037092896336,0.940489843680272,0.823169963183916,-0.0728183338760068,"non-habitable"
"14 And b",2.00750753311846,0.887615171043372,1.22750166155571,0.211034987115291,-0.671495729986462,2.97727315008271,"non-habitable"
"Kepler-751 b",-0.47701883941787,-0.306824907277608,-0.0516558995017844,-0.139311048900386,0.0280347558545494,-0.20761168825445,"non-habitable"
"368",-0.732418204240135,1.1097140246108,1.59396583298197,-1.42824440332217,0.432479781512811,-0.130854971932124,"habitable"
"HATS-40 b",1.49048433829889,-0.47786931298859,-0.860714853878168,1.58878605921001,1.15583081577438,0.237519854111571,"non-habitable"
"Kepler-377 b",-0.83854715706217,-0.343430513308053,-0.223682142633512,0.405633705303984,0.644171491560202,-0.0884919797339653,"non-habitable"
"Kepler-33 b",-0.705139534744916,-0.436711641827607,-0.613752927929609,1.06334387654201,0.597026645740636,0.0995917705615362,"non-habitable"
"Kepler-597 b",-0.502614231118641,-0.347389841369536,-0.203048169512391,0.157372373503605,0.360151146635439,-0.173129667366941,"non-habitable"
"K2-263 b",-0.133883429968069,-0.0349476029184416,0.518997806381484,-0.684522665003406,0.00609741099958791,-0.204476959082858,"non-habitable"
"K2-259 b",-0.515691684386762,-0.30363931370785,-0.113868836396113,0.257782483999229,0.757929767280347,-0.116704542278291,"non-habitable"
"502",-1.0572558897526,-0.490408815429213,-0.25406871292168,-1.90606625786039,-4.12906302744525,-0.435721522259294,"habitable"
"HD 171028 b",1.72411058698034,1.4707495553286,1.82495679794634,-1.06917265091696,0.34702681480788,0.303349166714996,"non-habitable"
"K2-9 b",-0.535670811482611,-0.38365122111514,-0.022349702040171,-1.35998290581501,-2.84749922596122,-0.373752334348809,"habitable"
"Kepler-186 c",-0.894991955002278,-0.489296028079147,-0.494978795239392,-0.2742788103482,-2.21265341026755,-0.307923021745384,"non-habitable"
"HD 85390 b",0.203474008606664,1.52626757590845,2.0313082805261,-1.99336898109787,-0.208061536576355,-0.189021380659721,"non-habitable"
"Kepler-443 b",-0.505865773679639,0.390657550355117,1.20279869446953,-1.51481954094751,-0.788693476118873,-0.248363167485142,"habitable"
"Kepler-605 c",-1.21461680209162,-0.516492352814356,-0.992551028881635,0.92450908297848,0.113880663023428,-0.195072771568083,"non-habitable"
"Kepler-539 b",1.25954351894427,0.39689707119288,1.01262198630868,-0.994450129185201,0.508053693007753,-0.173129667366941,"non-habitable"
"Kepler-800 b",-0.373017045668275,-0.344898563695258,-0.161035020511751,-0.0651467680748247,-0.0555090247514737,-0.213881146597633,"non-habitable"
"HD 10697 b",2.14096569409207,2.21463991819205,2.19504367422406,-1.66594314431332,0.268801780415942,0.0901875830467611,"non-habitable"
"K2-19 c",0.0226261786996702,-0.369947011664607,-0.248881114697563,0.0875008268535932,0.0773981257454131,-0.201342229911266,"non-habitable"
"310",-0.757432445342345,-0.241395791072379,0.274312672997821,-1.36310423246277,-2.43667316764297,-0.325092248592102,"habitable"
"328",-0.470420837979377,0.0176769985570028,0.683989633932505,-1.39614544998587,-1.32960485851363,-0.29427066501755,"habitable"
"HD 111232 b",2.1934486861728,2.07783238579472,2.22854335238205,-2.15283954414203,0.170458988351098,-0.188803313224899,"non-habitable"
"82",-0.462725688968064,0.55861692142469,1.24026180543767,-1.45138041636893,-0.316875601452308,-0.21778189374126,"habitable"
"Kepler-795 b",-0.725510705100924,-0.183655110273386,0.228345342309612,-0.258826458870725,0.303077629023933,-0.169994938195349,"non-habitable"
"HATS-11 b",1.80978600340333,-0.476161048007823,-0.816548804684777,1.31832999870879,1.25404850770612,0.0118193537569688,"non-habitable"
"Kepler-268 b",-0.452139284068298,-0.190905143162785,0.157501768378592,0.0868017521065433,0.780433476422489,-0.0728183338760068,"non-habitable"
"64",-0.790552603147582,-0.230453455139793,0.36920284131473,-1.54715957500835,-2.63932629481058,-0.344863028570929,"habitable"
"6",-0.554263976455652,-0.298138367475276,0.174462702185129,-1.37634198121259,-2.43445166056021,-0.352306691176428,"habitable"
"86",-0.468418420018541,0.519051009047485,1.22676565770788,-1.46402266684568,-0.524862711269714,-0.21511055819082,"habitable"
"K2-154 b",-0.616582548387251,-0.500138235498648,-0.80976498722719,0.0873928441832086,-1.6714866569745,-0.273441000857875,"non-habitable"
"Kepler-115 c",-0.436937783460362,-0.392679247046341,-0.390365598152563,0.5792043525555,0.675403715138294,-0.091626708905557,"non-habitable"
"Teegarden b",-1.09068682586854,-0.536548372812813,-0.680412472191388,-1.42793565140841,-3.80813234904043,-0.43738733653212,"habitable"
